DAY_OF_WEEK,LINE_ID,WORKDAY,LAG_7,DIFF_14,YEAR,DAY_OF_WEEK_COS,DAY_OF_YEAR_SIN,MONTH_SIN
2,525,1,0,0,2024,-0.22252093395631434,-0.8758917051442433,-0.8660254037844386
3,525,1,0,0,2024,-0.900968867902419,-0.8674563547295971,-0.8660254037844386
4,525,1,0,0,2024,-0.9009688679024191,-0.858763958275803,-0.8660254037844386
5,525,1,0,0,2024,-0.2225209339563146,-0.8498170915275277,-0.5000000000000004
6,525,0,0,0,2024,0.6234898018587334,-0.8406184056344783,-0.5000000000000004
7,525,0,0,0,2024,1.0,-0.8311706263658079,-0.5000000000000004
1,525,1,0,0,2024,0.6234898018587336,-0.8214765533024145,-0.5000000000000004
2,525,1,0,0,2024,-0.22252093395631434,-0.8115390590073611,-0.5000000000000004
3,525,1,0,0,2024,-0.900968867902419,-0.801361088174677,-0.5000000000000004
4,525,1,0,0,2024,-0.9009688679024191,-0.7909456567567774,-0.5000000000000004
5,525,1,0,0,2024,-0.2225209339563146,-0.780295851070776,-0.5000000000000004
6,525,0,0,0,2024,0.6234898018587334,-0.7694148268839381,-0.5000000000000004
7,525,0,0,0,2024,1.0,-0.7583058084785625,-0.5000000000000004
1,525,1,0,0,2024,0.6234898018587336,-0.7469720876965551,-0.5000000000000004
2,525,1,0,0,2024,-0.22252093395631434,-0.7354170229639858,-0.5000000000000004
3,525,1,0,0,2024,-0.900968867902419,-0.7236440382959124,-0.5000000000000004
4,525,1,0,0,2024,-0.9009688679024191,-0.711656622281775,-0.5000000000000004
5,525,1,0,0,2024,-0.2225209339563146,-0.6994583270516471,-0.5000000000000004
6,525,0,0,0,2024,0.6234898018587334,-0.6870527672236675,-0.5000000000000004
7,525,0,0,0,2024,1.0,-0.6744436188329457,-0.5000000000000004
1,525,1,0,0,2024,0.6234898018587336,-0.661634618242279,-0.5000000000000004
2,525,1,0,0,2024,-0.22252093395631434,-0.6486295610349818,-0.5000000000000004
3,525,1,0,0,2024,-0.900968867902419,-0.6354323008901775,-0.5000000000000004
